Conference Acronym	Conference Name	Conference Location
OrdRing 2011	First International Workshop on Ordering and Reasoning	Bonn, Germany
DDDM 2011	The 5th International Workshop on Domain Driven Data Mining	Vancouver, Canada
ICDT 2012	15th International Conference on Database Theory	Berlin, Germany
DDDM 2011	CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada	Vancouver, Canada
UOII 2011	Workshop User Oriented Information Integration	Riga, Latvia
VDA 2012	Conference on Visualization and Data Analysis	Burlingame, CA, USA
IDEAS '11D 2011	15th International Database Engineering & Applications Symposium	Lisbon, Portugal
DOLAP 2011	Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, Scotland, UK
FDML 2011	International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
Oriental COCOSDA 2011	International Conference on Speech Database and Assessments	Hsinchu City, Taiwan
CAIA 2011	Context Aware Intelligent Assistance	Berlin, Germany
CloudDB 2011	Third International Workshop on Cloud Data Management	Glasgow, Scotland, UK
QoS-Workshop 2011	The 1st International Workshop on Service Oriented QoS Management from Theory to Practice	Beijing, China
DBPL 2011	The 13th International Symposium on Database Programming Languages	Seattle, WA, USA
DBRank 2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, WA, USA
VLDS 2011	First International Workshop on Searching and Integrating New Web Data Sources	Seattle, WA, USA
QDB 2011	9th International Workshop on Quality in Databases	Seattle, WA, USA
CMS 2011	2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
EDB 2011	The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
TPCTC 2011	Third TPC Technology Conference on Performance Evaluation & Benchmarking	Seattle, WA, USA
IDEAS 2011	IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon, Portugal
WOD - Summer School 2011	WEB OF DATA: Joint RuSSIR/EDBT Summer School 2011	Saint-Petersburg
CIKM 2011	20th ACM Conference on Information and Knowledge Management	Glasgow, Scotland, UK
CIKM 2011	20th ACM International Conference on Information and Knowledge Management	Glasgow, Scotland, UK
TC4SP 2011	Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
KEOD 2011	Int'l Conf. on Knowledge Engineering and Ontology Development	Paris, France
CECIIS 2011	Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
SUM 2011	Fifth International Conference on Scalable Uncertainty Management	Dayton, Ohio
DBLM 2011	International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
SDM 2011	8th VLDB Workshop on Secure Data Management	Seattle, WA, USA
exploreWeb 2011	First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
RSmeetDBs 2011	Recommender Systems meet Databases	Toulouse, France
JISBD 2011	XVI Jornadas de Ingeniería del Software y Bases de Datos	A Coruña, Spain
HDMS 2011	10th Hellenic Data Management Symposium	Athens, Greece
DocEng 2011	ACM Symposium on Document Engineering	Mountain View, CA, USA
TLAD 2011	9th International Workshop on Teaching, Learning and Assessment of Databases	Manchester, United Kingdom
Globe 2011	4th International Conference on Data Management in Grid and P2P Systems	Toulouse, France
GeoDBIS 2011	1st International Workshop on Geometric Objects in Databases and Information Systems	Vienna, Austria
TaPP 2011	3rd USENIX Workshop on the Theory and Practice of Provenance	Heraklion, Crete, Greece
Balisage 2011	Balisage: The Markup Conference	Montréal, Canada
DBSocial 2011	ACM SIGMOD Workshop on Databases and Social Networks	Athens, Greece
GID 2011	First ADBIS workshop on GPUs In Databases	Vienna, Austria
ADBIS 2011	Fifteenth East-European Conference on Advances in Databases and Information Systems	Vienna, Austria
DaMoN 2011	Seventh International Workshop on Data Management on New Hardware	Athens, Greece
DBTest 2011	4th International Workshop on Testing Database Systems	Athens, Greece
MobiDE 2011	10th ACM International Workshop on Data Engineering for Wireless and Mobile Access	Athens, Greece
DaWaK 2011	13th International Conference on Data Warehousing and Knowledge Discovery	Toulouse, France
SEBD 2011	19th Italian Symposium on Advanced Database Systems	Maratea, Italy
MIMIC 2011	Fifth International Workshop on Management and Interaction with Multimodal Information Content	Toulouse, France
IDAR 2011	SIGMOD/PODS PhD Workshop on Innovative Database Research	Athens, Greece
DEXA 2011	Database and Expert Systems Applications	Toulouse, France
E-LKR 2011	1st International Workshop on Exploiting Large Knowledge Repositories	Toulouse, France
DALI 2011	Data, Logic and Inconsistency	Toulouse, France
SOTM-EU 2011	1st State of the Map - Europe Conference	Vienna, Austria
IKE 2011	The 2011 International Conference on Information and Knowledge Engineering	Las Vegas, Nevada, USA
EIDWT 2011	The 2nd International Conference on Emerging Intelligent Data and Web Technologies	Tirana, Albania
SYRCoDIS 2011	The Seventh Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
VLDB 2011	The 37th International Conference on Very Large Data Bases	Seattle, WA, USA
Tutorials and Workshops@ECML/PKDD 2011	Joint call for tutorials and workshops ECML/PKDD 2011	Athens, Greece
EDA 2011	7th French-speaking workshop on Data Warehousing and On-line Analysis	Clermont-Ferrand, France
SSTD 2011	International Symposium on Spatial and Temporal Databases	Minneapolis, MN, USA
AMW 2011	5th Alberto Mendelzon Workshop on Foundations of Data Management	Santiago, Chile
KDD 2011	The 17th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	San Diego, CA, USA
EuroVA 2011	EuroVis Workshop on Visual Analytics	Bergen, Norway
AMCIS 2011	Minitrack: Business Process Management and Innovation	Detroit, USA
SSDBM 2011	23rd International Conference on Scientific and Statistical Database Management	Portland, Oregon
BNCOD 2011	BNCOD 2011: 28th British National Conference on Databases	Manchester, United Kingdom
USEWOD 2011	Workshop on Usage Analysis and the Web of Data	Hyderabad, India
DCNET 2011	International Conference on Data Communication Networking (DCNET)	Seville, Spain
ICEIS 2011	13th International Conference on Enterprise Information Systems	Beijing, China
NDM 2011	Novel Data Management for High Scalability	Sweden
NIPS: Workshop on Action & Interaction 2016	NIPS 2016 Workshop on Action and Interaction	Barcelona, Spain
ICMAA -MATEC 2017	International Conference on Mechanical, Aeronautical and Automotive Engineering-EI,Scopus	Malacca, Malaysia
CMVIT 2017	2017 International Conference on Machine Vision and Information Technology (CMVIT 2017)--IEEE(CPS)-Final Call !	Singapore
ICBCB 2017	5th International Conference on Bioinformatics and Computational Biology -ACM	Hong Kong, China
EvoMUSART 2017	6th International Conference on Computational Intelligence in Music, Sound, Art and Design	Amsterdam, The Netherlands
IJCNN SS on Audio Applications 2017	IJCNN 2017 Special Session on Computational Intelligence Algorithms for Digital Audio Applications	Anchorage, Alaska, USA
IJCNN 2017	International Joint Conference on Neural Networks	Anchorage, Alaska, USA
ESANN 2017	25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
Randomized ML @ ESANN 2017	Randomized Machine Learning approaches: analysis and developments	Bruges, Belgium
ICAISC 2017	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
ICRMM 2017	2017 4th International Conference on Robotics, Mechanics and Mechatronics (ICRMM 2017)-Ei and Scopus	Penang, Malaysia
RecSys@FLAIRS 2017	Recommender Systems Special Track at the International FLAIRS Conference	Marco Island, Florida, USA
CBR@FLAIRS 2017	FLAIRS-30 Special Track on Case-Based Reasoning	Marco Island, Florida, USA
EACL SRW 2017	EACL 2017 Student Research Workshop	Valencia
ICSCE 2017	International Conference on Soft Computing in Engineering	Jaipur, India
ICAAI 2017	International Conference on Advances in Artificial Intelligence -EI Compendex, Scopus, and ISI CPCS	Bangkok, Thailand
ICITM - IEEE 2017	6th International Conference on Industrial Technology and Managemen - IEEE, Ei	Clare College, Cambridge, UK
ASC 2017	The International Workshop on Affective and Sentimental Computing	Jeju Island, South Korea
TFML 2017	Conference on Theoretical Foundations of Machine Learning 2017	Cracow, Poland
IWSPA 2017	3rd International Workshop on Security and Privacy Analytics	Scottsdale, Arizona, USA
KALSIMIS 2017	Knowledge Acquisition and Learning in Semantic Interpretation of Medical Image Structures	Porto, Portugal
MaLTeSQuE 2017	Machine Learning Techniques for Software Quality Evaluation	Klagenfurt, Austria
ESWC 2017	14th Extended Semantic Web Conference	Portoroz, Slovenia
ICBEA--Ei 2017	2017 International Conference on Biometrics Engineering and Application (ICBEA 2017)--Ei Compendex and Scopus	Hong Kong, China
ICMLC 2017	2017 9th International Conference on Machine Learning and Computing (ICMLC 2017)-ACM, Ei	Singapore
SCIA 2017	SCIA 2017, the Scandinavian Conference on Image Analysis	Tromsø, Norway
ICIVC 2017	2nd International Conference on Image, Vision and Computing	Chengdu, Sichuan, China
ICDEPI 2017	2017 International Conference on Design Engineering and Product Innovation (ICDEPI 2017)	Nanyang Technological University
MOCO 2017	International Conference on Movement and Computing (MOCO 2017)	London, UK
ACM--ICDLT 2017	ACM--2017 International Conference on Deep Learning Technologies (ICDLT 2017)--Ei Compendex and Scopus	Chengdu, Sichuan, China
ICMR 2017	ACM International Conference on Multimedia Retrieval	Bucharest, Romania
NLDB 2017	22nd International Conference on Natural Language & Information Systems	University of Liège, Liège, Belgium
ACIRS-IEEE 2017	IEEE - 2nd Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)	Wuhan, China
MAICS 2017	The 28th Modern Artificial Intelligence and Cognitive Science Conference	Fort Wayne, IN
ICRV 2017	IEEE--2017 3rd International Conference on Robotics and Vision (ICRV 2017)--Ei Compendex and Scopus	Wuhan, China
IJCAI 2017	International Joint Conference on Artificial Intelligence	Melbourne, VIC, Australia
ICMMR 2017	2017 4th International Conference on Mechanics and Mechatronics Research (ICMMR 2017) - Ei Compendex, Scopus and CPCI	Xi'an, China
ICML 2017	34th International Conference on Machine Learning	Sydney, Australia
ICANN 2017	International Conference on Artificial Neural Networks 2017	Alghero/Sassari, Sardinia, Italy
PAML 2017	Privacy Aware Machine Learning	Reggio di Calabria
IEEE-ICRAS 2017	2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong, China
ISIS 2017	The 18th International Symposium on Advanced Intelligent Systems (ISIS2017)	Daegu, South Korea
ICONIP 2017	International Conference on Neural Information Processing	Guangzhou, China
ICIET 2017	5th International Conference on Information and Education Technology -ACM	Tokyo, Japan
ICLR 2017	5th International Conference on Learning Representations	Palais des Congrès Neptune, Toulon, France
CML 2016	Constructive Machine Learning	Barcelona, Spain
EuroGP 2017	20th European Conference on Genetic Programming	Amsterdam, The Netherlands
ICMLSC - ACM 2017	2017 International Conference on Machine Learning and Soft Computing (ICMLSC 2017)--Ei, ISI and Scopus	Ho Chi Minh City, Vietnam
NIPS ML4HC 2016	Machine Learning for Health @ NIPS 2016	Barcelona, Spain
IRRATIONAL 2016	IMPERFECT DECISION MAKERS: ADMITTING REAL-WORLD RATIONALITY	Barcelona, Spain
VISAPP 2017	12th International Conference on Computer Vision Theory and Applications	Porto, Portugal
FILM 2016	Future of Interactive Learning Machines Workshop @ NIPS 2016	Barcelona, Spain
AISTATS 2017	The 20th International Conference on Artificial Intelligence and Statistics	Fort Lauderdale, Florida, USA
ICCMA-EI 2016	4th International conference on Control, Mechatronics and Automation	Barcelona, Spain
BigData-BMLIT 2016	IEEE Workshop on Big Data and Machine Learning in Telecom In conjunction with the 2016 IEEE International Conference on Big Data	Washington DC, USA
Big EMPS 2016	Workshop on Big Data and Analytics for Emergency Management and Public Safety	Washington DC, USA
FMBBS 2016	IEEE BIBM Workshop on Formal Methods for Biological and Biomedical Systems	Shenzhen, China
SoCPaR 2016	8th International Conference on Soft Computing & Pattern Recognition	VIT University, Vellore
VAAM 2016	Video Analytics for Audience Measurement	Cancún, Mexico
WNUT 2016	The 2nd Workshop on Noisy User-generated Text @COLING	Osaka, Japan
EWRL 2016	The 13th European Workshop on Reinforcement Learning	Barcelona, Spain
IEEE-ICSRS 2016	IEEE-2016 International Conference on System Reliability and Science (ICSRS 2016)-EI Compendex	Paris, France
AWRL 2016	First Asian Workshop on Reinforcement Learning	Hamilton, New Zealand
ICBNA 2016	The 3rd International Conference on Bayesian Networks and Applications	Tunisia
ICMV 2016	EI Compendex & SCOPUS - 2016 The 9th International Conference on Machine Vision (SPIE-ICMV 2016)	Nice, France
WINVIZNN 2016	ACCV 2016 Workshop on Interpretation and Visualization of Deep Neural Nets	Taipei, Taiwan
MLHPC 2016	Machine Learning in High Performance Computing Environments Workshop	Salt Lake City, Utah, USA
SeMaT 2016	AMTA 2016 Workshop on Semitic Machine Translation	Austin, Texas, USA
ICMME 2016	EI & Scopus--2016 3rd International Conference on Mechatronics and Mechanical Engineering (ICMME 2016)	Shanghai, China
NTIRE 2016	ACCV 2016 - Workshop on New Trends in Image Restoration and Enhancement	Taipei, Taiwan
IEEE-ISCMI 2016	2016 3rd Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2016)-IEEE Xplore, Ei	Dubai, UAE
ACCVW-MLAC 2016	ACCV'16 Workshop on Multi-view Lip-reading & Audio-visual Challenges	Taipei, Taiwan
MLSB posters 2016	Call for Poster abstracts: 10th International Workshop Machine Learning in Systems Biology (MLSB-2016)	The Hague, The Netherlands
WMLI 2016	ICANN 2016 Workshop on Machine Learning and Interpretability	Barcelona, Spain
Electronic Imaging 2017	IS&T International Symposium on Electronic Imaging 2017	Burlingame, CA, USA
MLSCPS 2016	2016 IEEE Workshop on Machine Learning in Security of Cyber-Physical Systems (MLSCPS)	Anaheim, CA, USA
ICFET 2016	The 2nd International Conference on Frontiers of Educational Technologies (ICFET 2016)	Singapore
ICRMV 2016	2016 International Conference on Robotics and Machine Vision (ICRMV 2016)-Scopus, Ei & Web of Science (CPCI)	Moscow, Russia
MECHA 2016	Third International Conference on Mechanical Engineering	Dubai, UAE
AICS 2016	24th Irish Conference on Artificial Intelligence and Cognitive Science	Dublin, Ireland
SCDS 2016	2nd International Conference on Soft Computing in Data Science 2016 (SCDS 2016)	Kuala Lumpur, Malaysia
CyberC 2016	CyberC (Tech. Sponsored by IEEE CS, IEEE Big Data, IEEE SDN) China Oct. 13-14, 2016	Chengdu, Sichuan, China
Big Data 2016	The 4th International Workshop on Big Data	Chengdu, Sichuan, China
ICACSIS 2016	ICACSIS 2016 : 8th International Conference of Advanced Computer Science and Information Systems	Malang, Indonesia
ICRAE 2016	2016 International Conference on Robotics and Automation Engineering (ICRAE 2016)--EI compendex	Jeju Island, South Korea
DSS 2016	2nd International Workshop on Data-driven Self-regulating Systems	Augsburg, Germany
ICMLA 2016	IEEE International Conference on Machine Learning and Applications (IEEE ICMLA'16)	Los Angeles, California, USA
VARVAI 2016	1st workshop on Virtual/Augmented Reality for Visual Artificial Intelligence	Amsterdam, The Netherlands
HPCAC 2016	5th Annual Spain Conference 2016	Leon Spain
CRC 2016	2016 International Conference on Cybernetics, Robotics and Control (CRC 2016)	Hong Kong, China
AIPR 2016	Applied Imagery Pattern Recognition	Washington DC, USA
GCAI 2016	GCAI 2016, CfP, 2nd Global Conference on Artificial Intelligence, Berlin, Germany, 29th September - 2nd October 2016	Berlin, Germany
IEEE-ICRAS 2016	IEEE-2016 2th International Conference on Robotics and Automation Sciences (ICRAS 2016)-Ei Compendex	New Taipei, Taiwan
DLRS 2016	Deep Learning for Recommender Systems	Boston, MA, USA
CIBB 2016	Thirteenth International meeting on Computational Intelligence methods for Bioinformatics and Biostatistics	Stirling, Scotland, UK
TENCON-SS-CITA 2016	Special Session on Computational Intelligence Techniques and Applications at TENCON 2016	Singapore
KDWEB 2016	2nd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
STSIVA 2016	21st Symposium on Signal Processing, Images and Artificial Vision	Bucaramanga, Colombia
Smart X 2016	The 2016 International Conference on Smart X	Dalian, China
YSM 2016	42nd Young Statisticians Meeting	London, UK
EGPAI 2016	1st International Workshop on Evaluating General-Purpose AI	The Hague, The Netherlands
ICGI 2016	The 13th International Conference on Grammatical Inference	Delft, The Netherlands
PAPIs 2016	CFP: 3rd International Conference on Predictive APIs and Apps (PAPIs)	Boston, MA, USA
GlobalSIP 2016	2016 IEEE Symposium on Machine Learning for Characterization of Cognitive Communications and Radar	Washington DC, USA
ICMST--Ei 2016	Ei Compendex, Scopus--2016 7th International Conference on Manufacturing Science and Technology (ICMST 2016)	Sarawak, Malaysia
CIARP 2016	21st IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION	Lima, Peru
ENIC 2016	The Third European Network Intelligence Conference	Wroclaw, Poland
Industry Track RuleML 2016	10th International Web Rule Symposium (RuleML) 2016 Industry Track	Stonybrook, NY
MLICOM 2016	The First International Conference on Machine Learning and Intelligent Communications	Shanghai, China
ITSBD 2016	International workshop on Intelligent Transportation Systems and Big Data	Thessaloniki, Greece
ACMME--EI 2016	2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)--Ei,ISI,Scopu	Kuala Lumpur, Malaysia
RAHA - 2016	Robotics and Automation for Humanitarian Applications	Amritapuri, Kerala, India
ANNPR 2016	Artificial Neural Networks for Pattern Recognition	Ulm University, Germany
ACIRS 2016	IEEE-2016 Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2016)--EI Compendex	Tokyo, Japan
IEEE-CCSSE 2016	2016 2nd International Conference on Control Science and Systems Engineering (CCSSE 2016)--IEEE Xplore and Ei Compendex	Singapore
NIPS 2016	The Thirtieth Annual Conference on Neural Information Processing Systems	Barcelona, Spain
ILP 2016	The 26th International Conference on Inductive Logic Programming	London, UK
HCOMP 2016	Conference on Human Computation and Crowdsourcing	Austin, Texas, USA
ICTTE-Ei 2016	EI Compendex--(ICTTE 2016)2016 5th International Conference on Transportation and Traffic Engineering	Lucerne, Switzerland
EUVIP 2016	6th European Workshop on Visual Information Processing	Marseille (France)
ICSAE 2016	ICSAE 2016 2nd International Conference on Sustainable Automotive Engineering--EI Compendex	Lucerne, Switzerland
MLSP Special Session 2016	Special Session @ MLSP 2016 : Computational Methods for Audio Analysis	Vietri Sul Mare, Salerno, Italy
CSIT 2016	The 7th International Conference on Computer Science & Information Technology 2016 [Indexed by IEEEXplore and technically co-sponsored By IEEE Computer Society]	Amman, Jordan
FuturePD 2016	The Future of Personal Data - International Workshop at ACM UMAP '16	Halifax, Nova Scotia, Canada
VS3 2016	Vision and Sports Summer School 2016	Prague, Czech Republic
MLSP 2016	IEEE International Workshop on Machine Learning for Signal Processing	Vietri Sul Mare, Salerno, Italy
TPDP 2016	Second workshop on the Theory and Practice of Differential Privacy	New York, USA
ICROM 2016	ICROM 2016 The 3rd International Conference on Robotics and Mechatronics(SCOPUS, Ei Compendex)	Singapore
Summer School FCM 2016	First Summer School on Fuzzy Cognitive Maps	Volos, Greece
PAML 2016	Privacy Aware Machine Learning for Health Data Science	Salzburg, Austria
AIAP 2016	3rd International Conference on Artificial Intelligence and Applications	Vienna, Austria
ICAME--Ei 2016	2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)---SCOPUS & Ei	Singapore
AISI 2016	The 2nd International Conference on Advanced Intelligent Systems and Informatics (AISI’16)	Egypt
S3PBIGDATA 2016	IEEE Signal Processing Society Summer School on Signal Processing and Machine Learning for Big Data	Pittsburgh, Pennsylvania, USA
ICAME 2016	SCOPUS & Ei--2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)	Singapore
ICMMR-Ei 2016	Ei & Scopus--2016 3rd International Conference on Mechanics and Mechatronics Research (ICMMR 2016)	Chongqing, China
ICONIP 2016	The 23rd International Conference on Neural Information Processing	Kyoto, Japan
DeepRL 2016	Deep Reinforcement Learning Workshop @IJCAI 2016	New York, USA
SPLINE 2016	International Workshop on Sensing Processing and Learning for Intelligent Machines	Aalborg, Denmark
MWDA 2016	WAIM2016 Workshop on Mobile Web Data Analytics	Nanchang, Jiangxi, China
IML 2016	IJCAI International Workshop on Interactive Machine Learning	New York, USA
IJCAI-KDHEALTH 2016	Workshop on Knowledge Discovery in Healthcare Data	New York, USA
BOOM 2016	IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)	New York, USA
SML 2016	3rd International Workshop on Semantic Machine Learning	New York, USA
WIRN 2016	Italian Workshop on Neural Networks	Vietri Sul Mare, Salerno, Italy
SMC-BMI 2016	6th Workshop on Brain-Machine Interfaces Systems @ SMC 2016	Budapest, Hungary
ECAI 2016	European Conference on Artificial Intelligence	The Hague, The Netherlands
BDL 2016	Workshop on Big Data & Deep Learning in HPC [Springer LNCS]	Porto, Portugal
CAP 2016	Conférence francophone sur l’apprentissage automatique	Marseille (France)
GECCOsws 2016	GECCO Student Workshop	Denver, Colorado, USA
FOCS 2016	57th Annual IEEE Symposium on Foundations of Computer Science	New Brunswick, New Jersey, USA
ICMSC--EI 2016	EI &Scopus--2016 International Conference on Mechanical, System and Control Engineering (ICMSC 2016)	Moscow, Russia
SAEOpt 2016	Workshop on Surrogate-Assisted Evolutionary Optimisation (SAEOpt)	Denver, Colorado, USA
JCSSE 2016	The 13th International Joint Conference on Computer Science and Software Engineering	Khon Kaen, Thailand
AGI 2016	Artificial General Intelligence	New York, USA
SCIS-ISIS 2016	Joint 8th International Conference on Soft Computing and Intelligent Systems and 17th International Symposium on Advanced Intelligent Systems	Sapporo, Hokkaido, Japan
INISTA 2016	International Symposium on INnovations in Intelligent SysTems and Applications	Sinaia, Romania
ICMEP 2016	Ei Compendex, Scopus--2016 The 5th International Conference on Manufacturing Engineering and Process (ICMEP 2016)	Istanbul, Turkey
CVVT 2016	CVVT 2016 – 7th international Workshop on Computer Vision in Vehicle Technology @ CVPR 2016	Las Vegas, Nevada, USA
ECCV 2016	European Conference on Computer Vision	Amsterdam, The Netherlands
ML-HPC 2016	NATIONAL CONFERENCE ON MACHINE LEARNING AND HIGH PERFORMANCE COMPUTING	Pune, India
AIFZ 2016	Second International Conference on Artificial Intelligence and Fuzzy Logic Systems	Chennai, India
PBVS 2016	12th IEEE Workshop on Perception Beyond the Visible Spectrum - In conjunction with CVPR 2016	Las Vegas, Nevada, USA
ICCAR-IEEE 2016	Ei Compendex--IEEE 2016 The 2nd International Conference on Control, Automation and Robotics (ICCAR 2016)	Hong Kong, China
ICIEA-Ei 2016	EI &Scopus-The 3rd International Conference on Industrial Engineering and Applications (ICIEA 2016)	Hong Kong, China
MOD 2016	2nd International Workshop on Machine learning, Optimization & big Data	Volterra (Pisa) Tuscany
AIAPP 2016	Third International Conference on Artificial Intelligence and Applications	Geneva , Switzerland
BigDAW 2016	Workshop on Big Data Analytics (BigDAW16) at Computing Frontiers 2016	Colombo
EUSIPCO Special Session 2016	Special Session @ EUSIPCO 2016 : Advances on Linear-in-the-Parameters Nonlinear Filters and Their Application to Audio and Speech Processing	Budapest, Hungary
MAICS 2016	Modern AI and Cognitive Science Conference	University of Dayton, Dayton, Ohio
COOS 2016	The 4th International Workshop on Collaborative Online Organizations	Singapore
MASC-SLL 2016	Mid-Atlantic Student Colloquium on Speech, Language and Learning	Philadelphia, PA, USA
RFIA 2016	Reconnaissance des Formes et l'Intelligence Artificielle	Clermont-Ferrand, France
ICSMA-Ei 2016	Ei Compendex, Scopus--2016 2nd International Conference on Sensors and Mechanical Automation (ICSMA 2016)	Bali, Indonesia
COLT 2016	Conference on Learning Theory	New York, USA
ICCRE 2016	2016 International Conference on Control and Robotics Engineering (ICCRE 2016)--IEEE, Ei	Singapore
ICMEAE-Ei 2016	Ei Compendex & Scopus--2016 3rd International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2016)	Singapore
ICML 2016	33rd International Conference on Machine Learning (ICML-2016)	New York, USA
GECCO 2016	The Genetic and Evolutionary Computation Conference	Denver, Colorado, USA
SecMAS 2016	Security and Multi-agent Systems Workshop at AAMAS 2016	Singapore
ALA 2016	Adaptive Learning Agents	Singapore
WCCI 2016	2016 IEEE World Congress on Computational Intelligence	Vancouver, Canada
Distributed Neural Networks@IJCNN 2016	Special Session on Distributed Learning Algorithms for Neural Networks	Vancouver, Canada
ICMR 2016	International Conference on Multimedia Retrieval	New York, USA
ARIA 2016	Third International Conference on Artificial Intelligence & Applications	Sydney, Australia
SFI 2016	SFI Academic IT Festival	Cracow, Poland
KES-IDT IS 04	Intelligent Data Analysis and Applications	Tenerife, Spain
SCSN 2016	Fourth International Workshop on Semantic Computing for Social Networks: from user information to social knowledge	Laguna Hills, California
ICLR 2016	ICLR 2016 : International Conference on Learning Representations 2016	San Juan, Puerto Rico
EvoMUSART 2016	5th International Conference on Evolutionary and Biologically Inspired Music, Sound, Art and Design	Porto, Portugal
ADAPT 2016	The 6th International Workshop on Adaptive Self-tuning Computing Systems	Prague, Czech Republic
TLWorkshop 2015	(Deadline Extended to 10/16/2015) NIPS 2015 Workshop on Transfer and Multi-Task Learning: Trends and New Perspectives	Montréal, Canada
LearningSys 2015	NIPS 2015 Workshop on Machine Learning Systems	Montréal, Canada
AISTATS 2016	The 19th International Conference on Artificial Intelligence and Statistics	Cádiz, Spain
NIPS Modern ML+NLP 2014	Workshop on Modern Machine Learning & Natural Language Processing	Montréal, Canada
ICDM 2015	ICDM 2015 Student Travel Grants	Atlantic City, New Jersey, USA
LSCNA 2015	Workshop on Large Scale Complex Network Analysis	Kolkata, India
ESBD 2015	The First International Workshop on Educational and Scholarly Big Data Analytics	Hong Kong, China
WiML 2015	10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montréal, Canada
MLHPC 2015	Machine Learning in High Performance Computing Environments Workshop	Austin, Texas, USA
DataCom 2015	2015 International Conference on Big Data Intelligence and Computing	Chengdu, Sichuan, China
SocialCom 2015	The 8th IEEE International Conference on Social Computing and Networking	Chengdu, Sichuan, China
SustainCom 2015	The 5th IEEE International Conference on Sustainable Computing and Communications	Chengdu, Sichuan, China
TASK-CV 2015	2nd Workshop on Transferring and Adapting Source Knowledge in Computer Vision	Santiago, Chile
CVM 2016	The 4th international conference on Computational Visual Media	Cardiff University, UK
WACV 2016	IEEE Winter Conference on Application of Computer Vision	Lake Placid, NY, USA.
SIAI 2015	SOCIAL IMPLICATIONS OF ARTIFICIAL INTELLIGENCE – SEOUL CONFERENCE	Seoul, South Korea
TAAI 2015	The 2015 Conference on Technologies and Applications of Artificial Intelligence	Tayih Landis Hotel, Tainan, Taiwan
CRoNe 2015	Call for Posters - 1st Congress on Robotics and Neuroscience	Valparaiso, Chile
IES 2015	The 19th Asia Pacific Symposium on Intelligent and Evolutionary Systems	Bangkok, Thailand
4DML in Biometrics 2015	4D's of Machine Learning in Biometrics: Deep Learning, Dictionary Learning, Domain Adaptation, and Distance Metric Learning	USA
SIPAIM 2015	11th International Seminar on Medical Information Processing and Analysis	Cuenca, Ecuador
Bigdata 2015	The International Workshop on Big Data and Smart Sustainable Society	Liverpool, UK
SenseML 2015	SenseML 2015 : 2nd International Workshop on Machine Learning for Urban Sensor Data @ ACM SenSys	Seoul, South Korea
BAFI 2015	Business Analytics in Finance and Industry	Santiago, Chile
DICTA 2015	Digital Image Computing: Techniques and Applications	Adelaide, Australia
SocialSens 2015	First International Workshop on Social Sensing (SocialSens 2015)	Dallas, Texas, USA
MLSLP 2015	Machine Learning in Spoken Language Processing	Aizu-Wakamatsu, Fukushima, Japan
AV+EC 2015	AV+EC 2015 - 5th International Audio/Visual+ Emotion Challenge and Workshop	Brisbane, Australia
MetaSel 2015	ECMLPKDD Workshop on Meta-learning and Algorithm Selection	Porto, Portugal
ICCP 2015	IEEE 11th - International Conference on Intelligent Computer Communication and Processing	Cluj-Napoca, Romania
AISI 2015	International Conference on Advanced Intelligent Systems and Informatics	Beni Suef, Egypt
AISec 2015	8th ACM Workshop on Artificial Intelligence and Security	Denver, Colorado, USA
ICACSIS 2015	7th International Conference of Advanced Computer Science and Information Systems	Depok, West Java
CIARP 2015	XX Iberoamerican Congress on Pattern Recognition	Montevideo, Uruguay
ISCMI 2015	2nd Intl. Conference on Soft Computing & Machine Intelligence	Hong Kong, China
NIPS 2015	Neural Information Processing Systems Conference	Montréal, Canada
